@relation bookkeeper4Training-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.0.0,4.1.0,4.2.0}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.2.0,10,2,798,313,31.3,94,226,22.6,74,No
4.2.0,2,1,75,44,22,38,36,18,35,No
4.2.0,5,2,125,64,12.8,20,47,9.4,16,No
4.2.0,6,2,200,129,21.5,81,115,19.166667,77,No
4.2.0,4,1,134,161,40.25,82,134,33.5,82,No
4.2.0,0,0,57,0,0,0,0,0,0,No
4.2.0,2,1,123,18,9,15,15,7.5,15,No
4.2.0,1,1,204,4,4,4,3,3,3,No
4.2.0,1,1,162,162,162,162,162,162,162,No
4.2.0,2,1,130,131,65.5,130,130,65,130,No
4.2.0,1,1,108,108,108,108,108,108,108,No
4.2.0,2,1,353,354,177,353,353,176.5,353,No
4.2.0,0,0,80,0,0,0,0,0,0,No
4.2.0,0,0,28,0,0,0,0,0,0,No
4.2.0,0,0,57,0,0,0,0,0,0,No
4.2.0,2,2,306,312,156,310,314,157,310,No
4.2.0,1,1,340,77,77,77,106,106,106,No
4.2.0,0,0,104,0,0,0,0,0,0,No
4.2.0,0,0,35,0,0,0,0,0,0,No
4.2.0,0,0,98,0,0,0,0,0,0,No
4.2.0,1,1,117,38,38,38,38,38,38,No
