@relation bookkeeper4Testing-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.2.1}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.2.1,0,0,108,0,0,0,0,0,0,Yes
4.2.1,1,1,354,2,2,2,1,1,1,Yes
4.2.1,1,1,88,8,8,8,8,8,8,Yes
4.2.1,0,0,28,0,0,0,0,0,0,No
4.2.1,1,1,58,2,2,2,1,1,1,No
4.2.1,1,1,308,5,5,5,2,2,2,Yes
4.2.1,2,2,343,8,4,6,3,1.5,2,Yes
4.2.1,0,0,104,0,0,0,0,0,0,No
4.2.1,0,0,35,0,0,0,0,0,0,No
4.2.1,0,0,98,0,0,0,0,0,0,No
4.2.1,1,1,117,1,1,1,0,0,0,No
