@relation output-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.0.0,4.1.0,4.2.0,4.2.1,4.2.2}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute BUGGY {No,Yes}

@data
4.1.0,1,1,103,5,5,5,4,4,4,No
4.1.0,0,0,41,0,0,0,0,0,0,No
4.1.0,0,0,66,0,0,0,0,0,0,No
4.1.0,1,1,63,9,9,9,9,9,9,No
4.1.0,0,0,47,0,0,0,0,0,0,No
4.1.0,0,0,183,0,0,0,0,0,0,No
4.1.0,0,0,49,0,0,0,0,0,0,No
4.1.0,0,0,50,0,0,0,0,0,0,No
4.1.0,0,0,98,0,0,0,0,0,0,No
4.1.0,1,1,143,5,5,5,5,5,5,No
4.1.0,0,0,43,0,0,0,0,0,0,No
4.1.0,0,0,42,0,0,0,0,0,0,No
4.1.0,1,1,56,3,3,3,0,0,0,No
4.1.0,0,0,162,0,0,0,0,0,0,Yes
4.1.0,1,1,6523,6504,6504,6504,156,156,156,Yes
4.1.0,0,0,153,0,0,0,0,0,0,No
4.1.0,1,1,43,1,1,1,0,0,0,No
4.1.0,0,0,41,0,0,0,0,0,0,No
4.1.0,3,2,400,407,135,397,400,133,397,Yes
4.1.0,2,1,425,428,214,424,425,212,424,Yes
4.1.0,2,1,1041,1057,528,1029,1041,520,1029,Yes
4.1.0,1,1,92,92,92,92,92,92,92,No
4.1.0,2,1,355,357,178,357,359,179,357,Yes
4.1.0,0,0,105,0,0,0,0,0,0,Yes
4.1.0,0,0,105,0,0,0,0,0,0,Yes
4.1.0,0,0,92,0,0,0,0,0,0,Yes
4.1.0,0,0,101,0,0,0,0,0,0,No
4.1.0,0,0,45,0,0,0,0,0,0,Yes
4.1.0,2,1,299,12,6,8,10,5,8,Yes
4.1.0,1,1,32,1,1,1,0,0,0,No
4.1.0,0,0,111,0,0,0,0,0,0,No
4.1.0,0,0,35,0,0,0,0,0,0,No
4.1.0,1,1,85,4,4,4,4,4,4,Yes
4.1.0,0,0,27,0,0,0,0,0,0,No
4.1.0,0,0,28,0,0,0,0,0,0,No
4.1.0,2,1,36,7,3,5,7,3,5,Yes
4.1.0,2,1,574,11,5,8,8,4,5,Yes
4.1.0,1,1,67,3,3,3,3,3,3,No
4.1.0,0,0,29,0,0,0,0,0,0,No
4.1.0,1,1,72,8,8,8,8,8,8,No
4.1.0,0,0,37,0,0,0,0,0,0,No
4.1.0,2,1,51,52,26,51,51,25,51,No
4.1.0,1,1,31,31,31,31,31,31,31,No
4.1.0,1,1,77,9,9,9,9,9,9,Yes
4.1.0,1,1,168,14,14,14,14,14,14,Yes
4.1.0,1,1,81,10,10,10,9,9,9,Yes
4.1.0,1,1,37,37,37,37,37,37,37,No
4.1.0,1,1,27,27,27,27,27,27,27,No
4.1.0,1,1,48,48,48,48,48,48,48,No
4.1.0,3,1,436,79,26,53,67,22,53,Yes
4.1.0,1,1,77,77,77,77,77,77,77,Yes
4.1.0,1,1,63,63,63,63,63,63,63,No
4.1.0,0,0,76,0,0,0,0,0,0,No
4.1.0,2,1,191,193,96,190,191,95,190,Yes
4.1.0,1,1,160,1,1,1,1,1,1,No
4.1.0,3,1,906,207,69,165,169,56,131,Yes
4.1.0,0,0,74,0,0,0,0,0,0,No
4.1.0,0,0,94,0,0,0,0,0,0,No
4.1.0,0,0,22,0,0,0,0,0,0,No
4.1.0,2,1,481,62,31,50,54,27,42,No
4.1.0,0,0,62,0,0,0,0,0,0,No
4.1.0,0,0,58,0,0,0,0,0,0,No
4.1.0,1,1,94,3,3,3,3,3,3,No
4.1.0,0,0,27,0,0,0,0,0,0,No
4.1.0,0,0,77,0,0,0,0,0,0,No
4.1.0,3,1,744,43,14,29,40,13,28,Yes
4.1.0,1,1,64,64,64,64,64,64,64,Yes
4.1.0,1,1,45,45,45,45,45,45,45,No
4.1.0,0,0,63,0,0,0,0,0,0,No
4.1.0,0,0,37,0,0,0,0,0,0,No
4.1.0,0,0,64,0,0,0,0,0,0,No
4.1.0,0,0,124,0,0,0,0,0,0,No
4.1.0,2,1,172,21,10,11,12,6,10,No
4.1.0,1,1,36,2,2,2,0,0,0,No
4.1.0,0,0,58,0,0,0,0,0,0,No
4.1.0,0,0,62,0,0,0,0,0,0,No
4.1.0,1,1,132,4,4,4,2,2,2,No
4.1.0,1,1,74,1,1,1,0,0,0,No
4.1.0,0,0,83,0,0,0,0,0,0,No
4.1.0,0,0,74,0,0,0,0,0,0,No
4.1.0,0,0,48,0,0,0,0,0,0,No
4.1.0,0,0,60,0,0,0,0,0,0,No
4.1.0,1,1,86,18,18,18,16,16,16,No
4.1.0,3,1,355,253,84,241,186,62,174,No
4.1.0,0,0,53,0,0,0,0,0,0,No
4.1.0,4,1,612,185,46,98,160,40,92,Yes
4.1.0,0,0,39,0,0,0,0,0,0,No
4.1.0,0,0,78,0,0,0,0,0,0,Yes
4.1.0,1,1,85,24,24,24,21,21,21,Yes
4.1.0,0,0,31,0,0,0,0,0,0,No
4.1.0,0,0,57,0,0,0,0,0,0,No
4.1.0,1,1,108,4,4,4,4,4,4,No
4.1.0,1,1,32,1,1,1,0,0,0,No
4.1.0,0,0,227,0,0,0,0,0,0,No
4.1.0,1,1,201,4,4,4,4,4,4,No
4.1.0,1,1,80,5,5,5,5,5,5,No
4.1.0,0,0,28,0,0,0,0,0,0,No
4.1.0,1,1,57,5,5,5,5,5,5,No
4.1.0,2,1,446,18,9,17,17,8,17,No
4.1.0,0,0,104,0,0,0,0,0,0,No
4.1.0,1,1,35,1,1,1,0,0,0,No
4.1.0,0,0,98,0,0,0,0,0,0,No
4.1.0,0,0,79,0,0,0,0,0,0,No
4.2.0,0,0,215,0,0,0,0,0,0,No
4.2.0,0,0,271,0,0,0,0,0,0,Yes
4.2.0,1,1,458,14,14,14,7,7,7,Yes
4.2.0,0,0,137,0,0,0,0,0,0,Yes
4.2.0,1,1,357,15,15,15,11,11,11,Yes
4.2.0,17,3,1242,635,37,175,510,30,153,Yes
4.2.0,0,0,51,0,0,0,0,0,0,No
4.2.0,1,1,154,5,5,5,4,4,4,Yes
4.2.0,0,0,31,0,0,0,0,0,0,No
4.2.0,5,3,928,945,189,684,938,187,684,No
4.2.0,0,0,180,0,0,0,0,0,0,No
4.2.0,3,2,260,101,33,88,64,21,61,Yes
4.2.0,6,3,551,123,20,62,78,13,43,Yes
4.2.0,0,0,40,0,0,0,0,0,0,No
4.2.0,3,1,361,109,36,63,106,35,62,Yes
4.2.0,2,2,388,18,9,11,9,4,6,Yes
4.2.0,1,1,51,51,51,51,51,51,51,No
